LON,LAT,SOG,COG
18.28536,-65.63225,2.6,86.3
18.29058,-65.63267,5.8,101.1
18.29016,-65.63045,6.2,99.5
18.29106,-65.62843,5.5,70.4
18.29165,-65.62568,6.7,74.6
18.29263,-65.62295,6.5,78.9
18.29384,-65.62051,6.3,53.7
18.29531,-65.61811,6.5,59.3
18.29675,-65.6158,7.4,61.7
18.29775,-65.61416,6.5,47.9
18.347912,-65.57396,4.7,37
18.29959,-65.61199,6.6,46.8
18.30162,-65.61007,6.4,39
18.30379,-65.60831,6.7,34.9
18.30529,-65.60718,6.7,39.6
18.30831,-65.6049,6.6,37.1
18.31128,-65.60271,6.5,34.3
18.31345,-65.60105,6.5,36.1
18.3157,-65.59942,6.6,38.3
18.31791,-65.59773,6.4,32.6
18.32016,-65.59615,6.7,34.4
18.32241,-65.59469,6.4,31.7
18.32471,-65.59312,6.6,34.1
18.32703,-65.59154,6.8,31
18.32949,-65.58982,7.2,33.6
18.33352,-65.58719,6.7,29.3
18.33659,-65.58509,6.6,31.7
18.33851,-65.58323,6.3,43.8
18.33985,-65.582,5.4,39
18.34126,-65.58059,4.7,36.5
